# 现代汉语语料库汉字频率表
# 语料规模：2000万字 ，只列入出现次数大于5次的字
# 制作：www.cncorpus.org 语料库在线网站
汉字,排名,出现次数,频率（%）,累积频率（%）
的,1,759834.0,4.8867,4.8867
一,2,218650.0,1.4062,6.2929
是,3,204548.0,1.3155,7.6084000000000005
不,4,166481.0,1.0707,8.6791
了,5,147981.0,0.9517,9.6308
在,6,143951.0,0.9258,10.556600000000001
有,7,141221.0,0.9082,11.464800000000002
人,8,121628.0,0.7822,12.247000000000002
这,9,118473.0,0.7619,13.008900000000002
上,10,93773.0,0.6031,13.612000000000002
大,11,90830.0,0.5842,14.196200000000001
来,12,89806.0,0.5776,14.773800000000001
和,13,89644.0,0.5765,15.3503
我,14,89561.0,0.576,15.926300000000001
个,15,88999.0,0.5724,16.4987
中,16,84897.0,0.546,17.0447
地,17,83575.0,0.5375,17.5822
为,18,83201.0,0.5351,18.1173
他,19,76432.0,0.4916,18.6089
生,20,76261.0,0.4905,19.0994
要,21,75230.0,0.4838,19.583199999999998
们,22,74062.0,0.4763,20.059499999999996
以,23,72998.0,0.4695,20.528999999999996
到,24,72392.0,0.4656,20.994599999999995
国,25,67651.0,0.4351,21.429699999999993
时,26,67073.0,0.4314,21.861099999999993
就,27,65678.0,0.4224,22.283499999999993
出,28,62060.0,0.3991,22.682599999999994
说,29,60811.0,0.3911,23.073699999999995
会,30,59732.0,0.3842,23.457899999999995
也,31,58203.0,0.3743,23.832199999999997
子,32,57123.0,0.3674,24.199599999999997
学,33,55984.0,0.36,24.559599999999996
发,34,55875.0,0.3593,24.918899999999997
着,35,55666.0,0.358,25.276899999999998
对,36,54649.0,0.3515,25.6284
作,37,54616.0,0.3512,25.979599999999998
能,38,54355.0,0.3496,26.329199999999997
可,39,54066.0,0.3477,26.676899999999996
于,40,53387.0,0.3433,27.020199999999996
成,41,53259.0,0.3425,27.362699999999997
用,42,52866.0,0.34,27.702699999999997
过,43,50574.0,0.3253,28.027999999999995
动,44,50395.0,0.3241,28.352099999999997
主,45,50249.0,0.3232,28.675299999999996
下,46,49733.0,0.3198,28.995099999999997
而,47,49418.0,0.3178,29.312899999999996
年,48,47441.0,0.3051,29.617999999999995
分,49,46501.0,0.2991,29.917099999999994
得,50,46297.0,0.2977,30.214799999999993
家,51,45991.0,0.2958,30.510599999999993
种,52,45686.0,0.2938,30.804399999999994
里,53,45585.0,0.2932,31.097599999999993
多,54,44206.0,0.2843,31.381899999999995
经,55,43430.0,0.2793,31.661199999999994
自,56,43412.0,0.2792,31.940399999999993
现,57,43040.0,0.2768,32.21719999999999
同,58,42903.0,0.2759,32.49309999999999
后,59,42643.0,0.2742,32.76729999999999
产,60,42449.0,0.273,33.040299999999995
方,61,41222.0,0.2651,33.30539999999999
工,62,40196.0,0.2585,33.56389999999999
行,63,38811.0,0.2496,33.81349999999999
面,64,38643.0,0.2485,34.06199999999999
那,65,38600.0,0.2482,34.31019999999999
小,66,38190.0,0.2456,34.55579999999999
所,67,38088.0,0.245,34.80079999999999
起,68,37939.0,0.244,35.04479999999999
去,69,37349.0,0.2402,35.28499999999999
之,70,37152.0,0.2389,35.52389999999999
都,71,36919.0,0.2374,35.76129999999999
然,72,36802.0,0.2367,35.99799999999999
理,73,36313.0,0.2335,36.23149999999999
进,74,36069.0,0.232,36.46349999999999
体,75,36013.0,0.2316,36.69509999999999
还,76,35552.0,0.2286,36.92369999999999
定,77,35474.0,0.2281,37.15179999999999
实,78,35331.0,0.2272,37.37899999999999
如,79,34418.0,0.2214,37.60039999999999
么,80,33817.0,0.2175,37.817899999999995
物,81,33687.0,0.2166,38.034499999999994
法,82,33568.0,0.2159,38.25039999999999
你,83,33449.0,0.2151,38.46549999999999
好,84,33058.0,0.2126,38.67809999999999
性,85,33034.0,0.2125,38.89059999999999
民,86,32893.0,0.2115,39.10209999999999
从,87,32796.0,0.2109,39.312999999999995
天,88,32508.0,0.2091,39.522099999999995
化,89,32404.0,0.2084,39.73049999999999
